Surname,First Names,Gender,Age,Boarded,Survived,Class
Dean,Miss Elizabeth Gladys “Millvina”,Female,0.17,Southampton,S,3
Danbom,Master Gilbert Sigvard Emanuel,Male,0.33,Southampton,V,3
Tannūs,Master As’ad,Male,0.42,Cherbourg,S,3
Hämäläinen,Master Viljo Unto Johannes,Male,0.58,Southampton,S,2
Peacock,Master Albert Edward,Male,0.58,Southampton,V,3
Baclini,Miss Helene Barbara,Female,0.75,Cherbourg,S,3
Richards,Master Sibley George,Male,0.75,Southampton,S,2
West,Miss Barbara Joyce,Female,0.83,Southampton,S,2
Aks,Master Frank Philip,Male,0.83,Southampton,S,3
Caldwell,Master Alden Gates,Male,0.83,Southampton,S,2
Allison,Master Hudson Trevor,Male,0.92,Southampton,S,1
Johnson,Miss Eleanor Ileen,Female,1,Southampton,S,3
Klasén,Miss Gertrud Emilia,Female,1,Southampton,V,3
Laroche,Miss Louise,Female,1,Cherbourg,S,2
Nakid,Miss Maria,Female,1,Cherbourg,S,3
Sandström,Miss Beatrice Irene,Female,1,Southampton,S,3
Becker,Master Richard F.,Male,1,Southampton,S,2
Dean,Master Bertram Vere,Male,1,Southampton,S,3
Goodwin,Master Sidney Leslie,Male,1,Southampton,V,3
Mallet,Master André Clement,Male,1,Cherbourg,S,2
Panula,Master Eino Viljam,Male,1,Southampton,V,3
Allison,Miss Helen Loraine,Female,2,Southampton,V,1
Andersson,Miss Ellis Anna Maria,Female,2,Southampton,V,3
Hirvonen,Miss Hildur Elisabeth,Female,2,Southampton,S,3
Peter/Joseph,Miss Anna,Female,2,Cherbourg,S,3
Quick,Miss Phyllis May,Female,2,Southampton,S,2
Rosblom,Miss Salli Helena,Female,2,Southampton,V,3
Skoog,Miss Margit Elizabeth,Female,2,Southampton,V,3
Ström,Miss Telma Matilda,Female,2,Southampton,V,3
Navratil,Master Edmond Roger,Male,2,Southampton,S,2
Pålsson,Master Gösta Leonard,Male,2,Southampton,V,3
Panula,Master Urho Abraham,Male,2,Southampton,V,3
Rice,Master Eugene Francis,Male,2,Queenstown,V,3
Wells,Master Ralph Lester,Male,2,Southampton,S,2
Baclini,Miss Eugenie,Female,3,Cherbourg,S,3
Laroche,Miss Simonne Marie Anne Andrée,Female,3,Cherbourg,S,2
Lefebvre,Miss Ida,Female,3,Southampton,V,3
Pålsson,Miss Stina Viola,Female,3,Southampton,V,3
Peacock,Miss Treasteall,Female,3,Southampton,V,3
Asplund,Master Edvin Rojj Felix,Male,3,Southampton,S,3
Coutts,Master Neville Leslie,Male,3,Southampton,S,3
Navratil,Master Michel Marcel,Male,3,Southampton,S,2
Richards,Master William Rowe,Male,3,Southampton,S,2
Becker,Miss Marion Louise,Female,4,Southampton,S,2
Karun,Miss Manca,Female,4,Cherbourg,S,3
Kink-Heilmann,Miss Luise Gretchen,Female,4,Southampton,S,3
Sandström,Miss Marguerite Rut,Female,4,Southampton,S,3
Wells,Miss Joan,Female,4,Southampton,S,2
West,Miss Constance Mirium,Female,4,Southampton,S,2
Andersson,Master Sigvard Harald Elias,Male,4,Southampton,V,3
Dodge,Master Washington,Male,4,Southampton,S,1
Johnson,Master Harold Theodor,Male,4,Southampton,S,3
Mubārik,Master Hal īm,Male,4,Cherbourg,S,3
Peter/Joseph,Master Michael J.,Male,4,Cherbourg,S,3
Rice,Master Arthur,Male,4,Queenstown,V,3
Sage,Master Thomas Henry,Male,4,Southampton,V,3
Asplund,Miss Lillian Gertrud,Female,5,Southampton,S,3
Baclini,Miss Marie Catherine,Female,5,Cherbourg,S,3
Emanuel,Miss Virginia Ethel,Female,5,Southampton,S,3
Asplund,Master Carl Edgar,Male,5,Southampton,V,3
Lefebvre,Master Henry,Male,5,Southampton,V,3
Skoog,Master Harald,Male,5,Southampton,V,3
Andersson,Miss Ebba Iris Alfrida,Female,6,Southampton,V,3
Harper,Miss Annie Jessie,Female,6,Southampton,S,2
Pålsson,Master Paul Folke,Male,6,Southampton,V,3
Spedden,Master Robert Douglas,Male,6,Cherbourg,S,1
Būlus,Miss Nūr-al-Ayn,Female,7,Cherbourg,V,3
Ford,Miss Robina Maggie,Female,7,Southampton,V,3
Hart,Miss Eva Miriam,Female,7,Southampton,S,2
Johnston,Miss Catherine Nellie,Female,7,Southampton,V,3
Sage,Miss Constance Gladys,Female,7,Southampton,V,3
Moor,Master Meier,Male,7,Southampton,S,3
Mubārik,Master Jirjis,Male,7,Cherbourg,S,3
Panula,Master Juha Niilo,Male,7,Southampton,V,3
Rice,Master Eric,Male,7,Queenstown,V,3
Collyer,Miss Marjorie Lottie,Female,8,Southampton,S,2
Lefebvre,Miss Jeannie,Female,8,Southampton,V,3
Pålsson,Miss Torborg Danira,Female,8,Southampton,V,3
Quick,Miss Winifred Vera,Female,8,Southampton,S,2
Davies,Master John Morgan Jr,Male,8,Southampton,S,2
Drew,Master Marshall Brines,Male,8,Southampton,S,2
Johnston,Master William Andrew,Male,8,Southampton,V,3
Rice,Master George Hugh,Male,8,Queenstown,V,3
Tu’Mah,Master Jirjis Yūsuf,Male,8,Cherbourg,S,3
Andersson,Miss Ingeborg Constanzia,Female,9,Southampton,V,3
Skoog,Miss Mabel,Female,9,Southampton,V,3
Tu’Mah,Miss Mariyam,Female,9,Cherbourg,S,3
Asplund,Master Clarence Gustaf Hugo,Male,9,Southampton,V,3
Būlus,Master Akar,Male,9,Cherbourg,V,3
Coutts,Master William Loch,Male,9,Southampton,S,3
Goldsmith,Master Frank John William,Male,9,Southampton,S,3
Goodwin,Master Harold Victor,Male,9,Southampton,V,3
Olsen,Master Artur Karl,Male,9,Southampton,S,3
Van Billiard,Master Walter John,Male,9,Southampton,V,3
Goodwin,Miss Jessie Allis,Female,10,Southampton,V,3
Sage,Miss Elizabeth Ada,Female,10,Southampton,V,3
Van Impe,Miss Catharina,Female,10,Southampton,V,3
Rice,Master Albert,Male,10,Queenstown,V,3
Seman,Master Betros,Male,10,Cherbourg,V,3
Van Billiard,Master James William,Male,10,Southampton,V,3
Andersson,Miss Sigrid Elisabeth,Female,11,Southampton,V,3
Carter,Master William Thornton II,Male,11,Southampton,S,1
Goodwin,Master William Frederick,Male,11,Southampton,V,3
Ibrāhīm,Mr Husayn Mahmūd Husayn,Male,11,Cherbourg,V,3
N īqūla Yārid,Master Ilyās,Male,11,Cherbourg,S,3
Skoog,Master Karl Thorsten,Male,11,Southampton,V,3
Becker,Miss Ruth Elizabeth,Female,12,Southampton,S,2
Lefebvre,Miss Mathilde,Female,12,Southampton,V,3
Watt,Miss Robertha Josephine,Female,12,Southampton,S,2
Sage,Master Anthony William,Male,12,Southampton,V,3
Carter,Miss Lucile Polk,Female,13,Southampton,S,1
Mellinger,Miss Violet Madeline,Female,13,Southampton,S,2
Asplund,Master Filip Oscar,Male,13,Southampton,V,3
Ryerson,Master John Borie,Male,13,Cherbourg,S,1
N īqūla Yārid,Miss Jamilah,Female,14,Cherbourg,S,3
Nasser,Mrs Adele,Female,14,Cherbourg,V,2
Sage,Miss Dorothy,Female,14,Southampton,V,3
Veström,Miss Hulda Amanda Adolfina,Female,14,Southampton,V,3
Abbott,Mr Eugene Joseph,Male,14,Southampton,V,3
Goodwin,Mr Charles Edward,Male,14,Southampton,V,3
Panula,Master Jaako Arnold,Male,14,Southampton,V,3
Svensson,Mr Johan Cervin,Male,14,Southampton,S,3
Sweet,Mr George Frederick,Male,14,Southampton,V,2
Ayoub Daher,Miss Banoura,Female,15,Cherbourg,S,3
Brown,Miss Edith Eileen,Female,15,Southampton,S,2
Najib Kiamie,Miss Adele,Female,15,Cherbourg,S,3
Yazbeck,Mrs Selini,Female,15,Cherbourg,V,3
Allum,Mr Owen George,Male,15,Southampton,V,3
Bailey,Mr Percy,Male,15,Southampton,V,2
Elias,Mr Joseph jr.,Male,15,Cherbourg,V,3
Vanderplancke,Mr Leo Edmondus,Male,15,Southampton,V,3
Barratt,Mr. Arthur,Male,15,Southampton,V,Crew
Watson,Mr. Ennis Hastings,Male,15,Belfast,V,Crew
Abelseth,Miss Karen Marie,Female,16,Southampton,S,3
Corr,Miss Ellen,Female,16,Queenstown,S,3
Cribb,Miss Laura Mae,Female,16,Southampton,S,3
Goodwin,Miss Lillian Amy,Female,16,Southampton,V,3
Jabbur (Zabour),Miss Hileni,Female,16,Cherbourg,V,3
Lines,Miss Mary Conover,Female,16,Cherbourg,S,1
Madill,Miss Georgette Alexandra,Female,16,Southampton,S,1
O’Leary,Miss Hanora,Female,16,Queenstown,S,3
Tannūs,Mrs Tham īn,Female,16,Cherbourg,S,3
Abbott,Mr Rossmore Edward,Male,16,Southampton,V,3
De Pelsmaeker,Mr Alfons,Male,16,Southampton,V,3
Eklund,Mr Hans Linus,Male,16,Southampton,V,3
Ford,Mr William Neal Thomas,Male,16,Southampton,V,3
Lane,Mr Patrick,Male,16,Queenstown,V,3
Mudd,Mr Thomas Cupper,Male,16,Southampton,V,2
O’Connor,Mr Maurice,Male,16,Queenstown,V,3
Osén,Mr Olaf Elon,Male,16,Southampton,V,3
Panula,Mr Ernesti Arvid,Male,16,Southampton,V,3
Pulner,Mr Uscher,Male,16,Cherbourg,V,3
Sage,Mr Frederick,Male,16,Southampton,V,3
Samaan,Mr Youssef,Male,16,Cherbourg,V,3
Thomas/Tannous,Mr Tannous,Male,16,Cherbourg,V,3
Turvey,Mr. Charles,Male,16,Southampton,V,Crew
Harris,Mr. Clifford Henry,Male,16,Southampton,V,Crew
Hopkins,Mr. F.,Male,16,Southampton,V,Crew
Humby,Mr. Frederick,Male,16,Southampton,V,Crew
Andersson,Miss Erna Alexandra,Female,17,Southampton,S,3
Attalah,Miss Malake,Female,17,Cherbourg,V,3
Burns,Miss Mary Delia,Female,17,Queenstown,V,3
Dick,Mrs Vera,Female,17,Southampton,S,1
Gilnagh,Miss Katherine,Female,17,Queenstown,S,3
Hargadon,Miss Catherine,Female,17,Queenstown,V,3
Hippach,Miss Jean Gertrude,Female,17,Cherbourg,S,1
Ilett,Miss Bertha,Female,17,Southampton,V,2
Lehmann,Miss Bertha,Female,17,Cherbourg,S,2
McGowan,Miss Anna Louise,Female,17,Queenstown,V,3
Silvén,Miss Lyyli Karoliina,Female,17,Southampton,S,2
Smyth,Miss Julia,Female,17,Queenstown,S,3
Andrew,Mr Edgar Samuel,Male,17,Southampton,V,2
Calic,Mr Jovo,Male,17,Southampton,V,3
Calic,Mr Petar,Male,17,Southampton,V,3
Carraú-Esteves,Mr José Pedro,Male,17,Southampton,V,1
Culumovic,Mr Jeso,Male,17,Southampton,V,3
Davies,Mr Joseph,Male,17,Southampton,V,3
Dika,Mr Mirko,Male,17,Southampton,V,3
Jensen,Mr Svend Lauritz,Male,17,Southampton,V,3
Kallio,Mr Nikolai Erland,Male,17,Southampton,V,3
Nakhli,Mr Toufik,Male,17,Cherbourg,V,3
O’Connell,Mr Patrick Denis,Male,17,Queenstown,V,3
Parker,Mr Clifford Richard,Male,17,Southampton,V,2
Pokrnic,Mr Mate,Male,17,Southampton,V,3
Rush,Mr Alfred George John,Male,17,Southampton,V,3
Sadowitz,Mr Henry,Male,17,Southampton,V,3
Samaan,Mr Elias,Male,17,Cherbourg,V,3
Thayer,Mr John Borland Jr,Male,17,Cherbourg,S,1
Jones,Mr. Albert,Male,17,Southampton,V,Crew
Middleton,Mr. Alfred Pirrie,Male,17,Belfast,V,Crew
Russell,Mr. Boysie Richard,Male,17,Southampton,V,Crew
Price,Mr. Ernest,Male,17,Southampton,V,Crew
Allen,Mr. Frederick,Male,17,Southampton,V,Crew
Donati,Mr. Italo Francesco,Male,17,Southampton,V,Crew
Collins,Mr. John,Male,17,Southampton,S,Crew
Crovella,Mr. Luigi,Male,17,Southampton,V,Crew
Piatti,Mr. Luigi,Male,17,Southampton,V,Crew
